Airport.Code,Airport.Name,Time.Month,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
IAH,"Houston, TX: George Bush Intercontinental/Houston",7,2014,799,1372,976,109,262,12002,15611,50590,90309,44731,194031,8355
JFK,"New York, NY: John F. Kennedy International",7,2014,512,765,1183,75,326,6147,9085,35536,56900,89640,190237,8016
LAS,"Las Vegas, NV: McCarran International",7,2014,779,1307,552,83,75,9253,12064,41179,71790,19915,138569,5566
LAX,"Los Angeles, CA: Los Angeles International",7,2014,1201,1777,1241,151,208,15770,20370,74928,113228,46460,246291,11326
LGA,"New York, NY: LaGuardia",7,2014,481,626,1039,92,530,6550,9376,36927,39558,70093,154102,7486
MCO,"Orlando, FL: Orlando International",7,2014,781,870,806,110,102,7071,9781,47092,64546,37110,157808,8837
MDW,"Chicago, IL: Chicago Midway International",7,2014,473,892,305,51,62,6400,8204,27382,50644,11313,94487,5046
MIA,"Miami, FL: Miami International",7,2014,387,558,671,61,59,5152,6956,26768,40211,25425,97708,5155
MSP,"Minneapolis, MN: Minneapolis-St Paul International",7,2014,487,610,429,45,78,8445,10120,34574,39600,16220,94531,4066
ORD,"Chicago, IL: Chicago O'Hare International",7,2014,1171,2601,2198,176,526,19198,25885,84557,158672,96215,355350,15777
PDX,"Portland, OR: Portland International",7,2014,317,516,154,28,18,4020,5053,18161,30555,6152,57451,2547
PHL,"Philadelphia, PA: Philadelphia International",7,2014,417,360,626,89,113,4727,6357,26644,24820,36688,95097,6831
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",7,2014,963,1415,689,77,178,10857,14270,53844,80037,24805,165174,6347
SAN,"San Diego, CA: San Diego International",7,2014,584,758,283,32,76,5455,7193,32009,44746,10664,90171,2722
SEA,"Seattle, WA: Seattle/Tacoma International",7,2014,616,850,589,51,34,8592,10747,34701,47762,21625,109402,5211
SFO,"San Francisco, CA: San Francisco International",7,2014,822,1453,1941,141,405,10169,14951,53819,98689,101554,264139,9895
SLC,"Salt Lake City, UT: Salt Lake City International",7,2014,462,630,235,32,36,8631,10031,28111,37311,9295,77515,2705
TPA,"Tampa, FL: Tampa International",7,2014,463,538,323,54,31,3949,5382,27930,35594,13663,81836,4599
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",8,2014,1365,1769,1668,141,287,26222,31608,121594,122937,95866,353250,12785
BOS,"Boston, MA: Logan International",8,2014,590,737,574,71,65,7876,9932,31896,45310,24318,108538,6316
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8,2014,483,760,327,72,26,6186,7870,27893,43525,12285,88795,5047
CLT,"Charlotte, NC: Charlotte Douglas International",8,2014,424,398,489,54,56,7580,9015,23907,25278,16353,69556,3868
DCA,"Washington, DC: Ronald Reagan Washington National",8,2014,377,372,430,42,73,4898,6208,19665,23354,17699,64076,3333
DEN,"Denver, CO: Denver International",8,2014,976,1723,1219,109,205,15832,20184,60349,113813,53982,237330,9088
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8,2014,1151,2364,1527,170,458,18210,24070,92117,170820,66358,346106,16596
DTW,"Detroit, MI: Detroit Metro Wayne County",8,2014,489,565,427,49,58,7946,9556,36842,37346,16898,95364,4234
EWR,"Newark, NJ: Newark Liberty International",8,2014,450,751,870,74,148,7230,9543,28863,50789,46380,131706,5668
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",8,2014,347,326,437,31,19,3569,4770,18877,20194,17162,58991,2399
IAD,"Washington, DC: Washington Dulles International",8,2014,249,426,293,40,51,3986,5060,15180,30880,13455,62655,3095
IAH,"Houston, TX: George Bush Intercontinental/Houston",8,2014,657,1053,898,100,117,11824,14688,39293,65379,34504,146719,7508
JFK,"New York, NY: John F. Kennedy International",8,2014,476,564,884,58,54,6993,9048,29973,32614,39189,106326,4256
LAS,"Las Vegas, NV: McCarran International",8,2014,650,1015,512,72,45,9555,11862,32425,56353,19016,112899,5029
LAX,"Los Angeles, CA: Los Angeles International",8,2014,1171,1535,1262,126,156,15147,19429,72896,97827,45327,228568,12064
LGA,"New York, NY: LaGuardia",8,2014,548,596,920,78,208,6857,9252,37496,35993,45339,124414,5488
MCO,"Orlando, FL: Orlando International",8,2014,650,655,636,73,31,6858,8969,36280,43791,23872,109561,5359
MDW,"Chicago, IL: Chicago Midway International",8,2014,407,740,536,100,25,5974,7834,21249,45399,23255,96072,6019
MIA,"Miami, FL: Miami International",8,2014,329,414,454,47,45,5486,6809,23029,28673,17337,71955,2876
MSP,"Minneapolis, MN: Minneapolis-St Paul International",8,2014,487,622,499,67,47,8332,10069,39333,36728,16737,99064,5739
ORD,"Chicago, IL: Chicago O'Hare International",8,2014,1170,2986,3869,191,951,16441,25717,86725,218809,238992,562982,18308
PDX,"Portland, OR: Portland International",8,2014,277,359,172,24,23,4220,5082,14667,19897,5651,42004,1764
PHL,"Philadelphia, PA: Philadelphia International",8,2014,414,335,469,65,29,4931,6255,20762,20637,16691,63105,4906
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",8,2014,774,997,632,51,104,10960,13564,45204,54647,21586,125967,4423
SAN,"San Diego, CA: San Diego International",8,2014,455,636,230,28,45,5524,6928,23161,36072,7854,69492,2349
SEA,"Seattle, WA: Seattle/Tacoma International",8,2014,538,694,605,43,43,9058,10991,29590,39050,18144,89789,2680
SFO,"San Francisco, CA: San Francisco International",8,2014,710,1258,1615,117,266,10783,14766,43533,82608,78356,213593,8724
SLC,"Salt Lake City, UT: Salt Lake City International",8,2014,407,542,263,40,47,8726,10043,25933,29512,9540,67718,2627
TPA,"Tampa, FL: Tampa International",8,2014,369,340,295,47,19,3896,4982,18938,20682,11018,54339,3539
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",9,2014,1242,1965,2500,97,136,24189,30198,97075,115114,94125,312413,5946
BOS,"Boston, MA: Logan International",9,2014,376,378,498,33,69,7739,9105,21575,23943,20527,68091,1963
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9,2014,327,550,306,31,44,5998,7283,17531,29454,11334,60259,1833
CLT,"Charlotte, NC: Charlotte Douglas International",9,2014,389,307,580,29,61,7777,9150,22644,17299,21010,63228,2208
DCA,"Washington, DC: Ronald Reagan Washington National",9,2014,279,241,372,22,82,4979,5991,14637,14361,14548,45107,1531
DEN,"Denver, CO: Denver International",9,2014,696,1156,969,54,111,15875,18907,45090,73048,42034,165681,5142
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9,2014,855,1951,1560,95,195,18332,23023,73034,118599,56119,254006,6073
DTW,"Detroit, MI: Detroit Metro Wayne County",9,2014,342,351,358,20,87,7736,8939,24729,21244,12080,59793,1557
EWR,"Newark, NJ: Newark Liberty International",9,2014,372,512,850,48,107,6743,8640,22091,32558,40012,96957,2274
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",9,2014,220,196,283,16,18,3322,4065,10589,10973,8734,31093,755
IAD,"Washington, DC: Washington Dulles International",9,2014,193,329,320,27,46,3925,4857,11599,24657,13713,52256,2279
IAH,"Houston, TX: George Bush Intercontinental/Houston",9,2014,486,770,1017,65,201,10897,13506,32016,52934,57964,148756,5842
JFK,"New York, NY: John F. Kennedy International",9,2014,339,337,808,46,43,6697,8283,22625,20467,34173,79574,2061
LAS,"Las Vegas, NV: McCarran International",9,2014,522,671,495,66,56,9389,11225,27891,37913,22190,94230,6071
LAX,"Los Angeles, CA: Los Angeles International",9,2014,765,1000,808,59,133,14806,17585,43713,62150,26360,135381,2937
LGA,"New York, NY: LaGuardia",9,2014,351,397,621,43,124,6998,8551,21383,21578,23878,68993,2140
MCO,"Orlando, FL: Orlando International",9,2014,422,380,422,25,32,6366,7674,24758,22618,14235,62666,1008
MDW,"Chicago, IL: Chicago Midway International",9,2014,267,450,699,63,334,5545,7411,14447,27392,42162,90557,6539
MIA,"Miami, FL: Miami International",9,2014,314,209,315,22,26,5314,6219,21005,11430,9627,43392,1254
MSP,"Minneapolis, MN: Minneapolis-St Paul International",9,2014,344,371,360,26,81,7667,8851,24908,21593,10786,59370,2010
ORD,"Chicago, IL: Chicago O'Hare International",9,2014,811,1829,2960,115,1780,17323,24905,60377,118588,198063,390547,13169
PDX,"Portland, OR: Portland International",9,2014,214,242,152,10,16,3551,4191,10968,14640,5357,32164,935
PHL,"Philadelphia, PA: Philadelphia International",9,2014,290,232,494,28,38,4733,5822,17437,12777,19618,51842,1967
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",9,2014,523,635,496,36,100,10278,12132,31328,35441,17276,87737,2815
SAN,"San Diego, CA: San Diego International",9,2014,309,402,207,22,48,5230,6228,15561,21283,7308,45644,1394
SEA,"Seattle, WA: Seattle/Tacoma International",9,2014,351,476,403,25,25,8016,9314,22604,27882,12084,64226,1566
SFO,"San Francisco, CA: San Francisco International",9,2014,601,939,1811,69,200,10227,13871,33162,61126,93785,192709,4120
SLC,"Salt Lake City, UT: Salt Lake City International",9,2014,279,382,217,25,31,8162,9108,19532,22157,7318,50464,1345
TPA,"Tampa, FL: Tampa International",9,2014,272,225,203,16,21,3827,4572,13332,12796,6691,33733,855
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",10,2014,1166,2019,1524,52,84,26746,31613,86693,119813,56954,267929,4469
BOS,"Boston, MA: Logan International",10,2014,448,534,1102,75,82,7419,9673,24593,33998,62590,127528,6109
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",10,2014,378,587,326,14,23,6268,7603,17554,29597,10257,58545,1079
CLT,"Charlotte, NC: Charlotte Douglas International",10,2014,386,398,505,19,55,8335,9746,20651,21612,15989,59840,1386
DCA,"Washington, DC: Ronald Reagan Washington National",10,2014,285,353,417,26,70,5348,6511,13517,20368,15682,51089,1462
DEN,"Denver, CO: Denver International",10,2014,757,1273,908,49,80,16302,19411,46428,75633,33993,159506,3390
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10,2014,1058,2392,2133,167,498,17161,23523,97005,160751,108328,385751,19536
DTW,"Detroit, MI: Detroit Metro Wayne County",10,2014,418,557,451,25,55,8134,9641,26455,30932,13924,72714,1403
EWR,"Newark, NJ: Newark Liberty International",10,2014,412,539,738,30,49,6850,8631,25730,37829,32924,98356,1863
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",10,2014,294,245,183,16,8,3774,4525,13324,13310,6325,34264,1305
IAD,"Washington, DC: Washington Dulles International",10,2014,264,442,338,18,27,3960,5055,13878,30071,14418,59562,1182
IAH,"Houston, TX: George Bush Intercontinental/Houston",10,2014,618,972,885,51,191,11965,14757,39734,66809,53021,164216,4617
JFK,"New York, NY: John F. Kennedy International",10,2014,366,441,944,35,30,6795,8636,22378,25834,42206,92703,2259
LAS,"Las Vegas, NV: McCarran International",10,2014,534,738,435,23,36,10002,11782,27219,36460,15110,80583,1612
LAX,"Los Angeles, CA: Los Angeles International",10,2014,861,1076,945,61,114,15111,18196,49264,64021,31407,148777,3691
LGA,"New York, NY: LaGuardia",10,2014,458,568,1099,47,148,6653,8985,29303,31907,52396,116564,2898
MCO,"Orlando, FL: Orlando International",10,2014,509,496,311,17,17,7046,8401,25288,27676,11181,65079,827
MDW,"Chicago, IL: Chicago Midway International",10,2014,354,600,943,42,169,5736,7850,18873,33857,35891,90605,1984
MIA,"Miami, FL: Miami International",10,2014,267,247,238,20,33,5582,6394,16676,16102,7729,42356,1646
MSP,"Minneapolis, MN: Minneapolis-St Paul International",10,2014,359,461,510,14,40,7719,9104,23466,24031,15710,64674,1466
ORD,"Chicago, IL: Chicago O'Hare International",10,2014,1043,2441,5570,90,1000,16141,26310,81822,162784,334371,587209,8123
PDX,"Portland, OR: Portland International",10,2014,231,252,202,6,7,3444,4145,10785,13783,5833,30841,421
PHL,"Philadelphia, PA: Philadelphia International",10,2014,344,313,616,18,32,4674,6005,17382,18314,25346,62217,1150
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",10,2014,639,716,497,16,78,11388,13346,34310,34361,15187,85003,1017
SAN,"San Diego, CA: San Diego International",10,2014,342,422,223,15,48,5472,6528,15703,22574,6939,46017,721
SEA,"Seattle, WA: Seattle/Tacoma International",10,2014,426,449,501,25,26,7794,9232,20719,26191,14157,62762,1525
SFO,"San Francisco, CA: San Francisco International",10,2014,704,987,1596,70,180,10920,14489,42036,66337,88352,201417,4499
SLC,"Salt Lake City, UT: Salt Lake City International",10,2014,306,352,207,11,25,8327,9233,17094,18684,6672,43142,692
TPA,"Tampa, FL: Tampa International",10,2014,302,286,151,15,9,4232,5001,14893,16028,5590,37788,1256
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",11,2014,954,1227,1175,61,47,25812,29296,74609,68028,35915,184228,5462
BOS,"Boston, MA: Logan International",11,2014,450,561,546,45,51,7364,9020,24124,33167,24815,84844,2670
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",11,2014,303,509,194,15,54,6013,7096,15114,29796,6861,52990,1196
CLT,"Charlotte, NC: Charlotte Douglas International",11,2014,412,370,605,22,63,7701,9180,22867,18874,17872,60767,1083
DCA,"Washington, DC: Ronald Reagan Washington National",11,2014,313,336,397,30,67,5239,6388,16170,20141,15182,52980,1464
DEN,"Denver, CO: Denver International",11,2014,751,1285,1179,101,172,13761,17296,48085,85421,55098,195671,7053
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11,2014,1056,2128,1674,115,330,16290,21671,96204,137392,67768,312744,11145
DTW,"Detroit, MI: Detroit Metro Wayne County",11,2014,371,545,459,33,68,7471,8972,28189,32438,14845,79494,4022
EWR,"Newark, NJ: Newark Liberty International",11,2014,382,512,783,44,124,7072,8925,21967,36762,48077,109990,3160
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",11,2014,309,279,427,26,28,4276,5348,16117,19902,15544,53730,2101
IAD,"Washington, DC: Washington Dulles International",11,2014,184,324,191,14,32,3659,4412,12743,23683,9539,47050,1085
IAH,"Houston, TX: George Bush Intercontinental/Houston",11,2014,536,724,903,53,71,11733,14046,33810,45437,30196,113637,4188
JFK,"New York, NY: John F. Kennedy International",11,2014,336,395,601,20,50,6655,8067,20643,24711,27209,74428,1841
LAS,"Las Vegas, NV: McCarran International",11,2014,505,738,457,37,29,8913,10689,23045,36845,14724,76898,2261
LAX,"Los Angeles, CA: Los Angeles International",11,2014,793,1182,1055,90,131,13779,17045,44552,71989,37176,158608,4742
LGA,"New York, NY: LaGuardia",11,2014,459,496,1034,65,209,6544,8821,29378,30567,53434,117828,4449
MCO,"Orlando, FL: Orlando International",11,2014,507,457,738,31,40,7096,8894,28114,30294,30302,91382,2431
MDW,"Chicago, IL: Chicago Midway International",11,2014,305,488,203,4,42,5965,7015,15614,25619,5981,47753,459
MIA,"Miami, FL: Miami International",11,2014,344,268,499,18,24,5081,6244,24767,19483,17264,63009,1477
MSP,"Minneapolis, MN: Minneapolis-St Paul International",11,2014,401,530,601,46,109,6578,8280,29137,31799,27010,91869,3879
ORD,"Chicago, IL: Chicago O'Hare International",11,2014,995,2160,1838,96,438,18017,23564,70708,139201,79789,297995,8189
PDX,"Portland, OR: Portland International",11,2014,242,312,211,8,16,3030,3821,10868,17634,6611,35648,528
PHL,"Philadelphia, PA: Philadelphia International",11,2014,293,261,542,30,34,4502,5668,15265,15818,24521,57201,1531
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",11,2014,560,653,433,21,52,10849,12581,28641,31914,12474,75083,1956
SAN,"San Diego, CA: San Diego International",11,2014,319,478,163,21,44,5009,6068,15060,26112,5271,47517,1060
SEA,"Seattle, WA: Seattle/Tacoma International",11,2014,421,478,593,36,25,7024,8586,20358,27465,16972,66701,1891
SFO,"San Francisco, CA: San Francisco International",11,2014,629,1005,1846,101,257,9373,13243,38392,69912,122312,237434,6803
SLC,"Salt Lake City, UT: Salt Lake City International",11,2014,345,452,333,17,55,7248,8457,27394,25546,10417,64233,827
TPA,"Tampa, FL: Tampa International",11,2014,313,320,361,28,25,4314,5369,17077,21221,15906,56377,2169
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",12,2014,1187,1476,1055,50,116,26087,30000,93872,82356,32496,212463,3708
BOS,"Boston, MA: Logan International",12,2014,534,602,744,31,44,6906,8872,27637,34015,25901,88951,1391
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",12,2014,385,648,225,11,34,6066,7382,19456,33563,6759,60293,447
CLT,"Charlotte, NC: Charlotte Douglas International",12,2014,430,370,597,7,43,8048,9506,21780,18549,16217,57047,391
DCA,"Washington, DC: Ronald Reagan Washington National",12,2014,317,352,315,18,66,5377,6460,15864,17081,9422,43219,729
DEN,"Denver, CO: Denver International",12,2014,1092,1822,1386,103,343,13439,18206,65491,120726,60390,253825,6883
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12,2014,1367,3081,1939,114,700,15764,23058,125117,203783,70775,418431,18446
DTW,"Detroit, MI: Detroit Metro Wayne County",12,2014,356,491,272,23,78,7471,8696,23625,29753,7817,63214,2002
EWR,"Newark, NJ: Newark Liberty International",12,2014,524,658,1538,32,143,6232,9140,28409,40497,88399,159313,1931
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",12,2014,488,355,277,11,20,4874,6034,24686,20024,9661,55238,600
IAD,"Washington, DC: Washington Dulles International",12,2014,289,360,272,10,35,3344,4320,17111,23670,9544,50832,465
IAH,"Houston, TX: George Bush Intercontinental/Houston",12,2014,913,1133,1272,45,110,10633,14143,51589,72948,48004,175828,3287
JFK,"New York, NY: John F. Kennedy International",12,2014,454,511,1016,33,33,6531,8590,27341,30394,44111,103398,1397
LAS,"Las Vegas, NV: McCarran International",12,2014,751,1255,865,85,116,7649,10750,39213,72508,50760,171640,8944
LAX,"Los Angeles, CA: Los Angeles International",12,2014,1332,1918,1870,99,262,12280,17822,78605,129405,66447,279235,4566
LGA,"New York, NY: LaGuardia",12,2014,480,530,1320,55,212,6598,9217,32961,31044,71705,139379,3500
MCO,"Orlando, FL: Orlando International",12,2014,687,669,561,11,25,7796,9757,38199,42836,20830,102931,735
MDW,"Chicago, IL: Chicago Midway International",12,2014,376,644,202,16,42,5894,7189,19331,32549,5684,58469,790
MIA,"Miami, FL: Miami International",12,2014,460,435,482,18,30,5451,6888,28251,29775,16302,75215,858
MSP,"Minneapolis, MN: Minneapolis-St Paul International",12,2014,408,498,403,26,64,7014,8424,28845,25079,11693,66523,837
ORD,"Chicago, IL: Chicago O'Hare International",12,2014,1092,2097,1514,56,382,18328,23484,71835,121988,51361,250923,5655
